column,note,question,subquestion,response_format
statement_234,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,sadness prevents neglect,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_235,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,worry prevents uncertainty,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_236,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,depression prevents joy,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_237,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,jokes prevent laughter,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_238,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,suicide prevents depression,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_239,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,conflict prevents harmony,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_240,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,insults cause offense,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_241,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,toothaches prevents brushing,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_242,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,isolation prevents happiness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_243,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,success causes pride,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_244,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,pride prevents success,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_245,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,harmony causes conflict,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_246,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,safety prevents accidents,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_247,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,offense prevents insults,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_248,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,symptoms cause diseases,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_249,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,loneliness causes isolation,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_250,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cholesterol prevents heart-disease,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_251,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,homelessness prevents jobs,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_252,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,grief prevents death,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_253,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,crime prevents laws,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_254,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,offense causes insults,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_255,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,complements cause admiration,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_256,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,pride causes failure,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
